Error,elementray charge e,Planck's constant h,electron mass m_e,Proton radius r_p,Rydberg constant R_H,Permittivity of free space ε_0,Speed of Light c,Fine-structure constant alpha
5.40E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973290.43,8.85E-12,299780406.4,0.007297646
5.28E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973289.33,8.85E-12,299780376.4,0.007297647
5.16E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973288.23,8.85E-12,299780346.5,0.007297647
5.04E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973287.14,8.85E-12,299780316.5,0.007297648
4.92E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973286.04,8.85E-12,299780286.5,0.007297649
4.80E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973284.94,8.85E-12,299780256.5,0.00729765
4.68E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973283.84,8.85E-12,299780226.5,0.00729765
4.56E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973282.75,8.85E-12,299780196.6,0.007297651
4.44E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973281.65,8.85E-12,299780166.6,0.007297652
4.32E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973280.55,8.85E-12,299780136.6,0.007297652
4.20E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973279.45,8.85E-12,299780106.6,0.007297653
4.08E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973278.36,8.85E-12,299780076.7,0.007297654
3.96E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973277.26,8.85E-12,299780046.7,0.007297655
3.84E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973276.16,8.85E-12,299780016.7,0.007297655
3.72E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973275.06,8.85E-12,299779986.7,0.007297656
3.60E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973273.97,8.85E-12,299779956.7,0.007297657
3.48E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973272.87,8.85E-12,299779926.8,0.007297658
3.36E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973271.77,8.85E-12,299779896.8,0.007297658
3.24E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973270.68,8.85E-12,299779866.8,0.007297659
3.12E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973269.58,8.85E-12,299779836.8,0.00729766
3.00E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973268.48,8.85E-12,299779806.8,0.007297661
2.88E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973267.38,8.85E-12,299779776.9,0.007297661
2.76E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973266.29,8.85E-12,299779746.9,0.007297662
2.64E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973265.19,8.85E-12,299779716.9,0.007297663
2.52E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973264.09,8.85E-12,299779686.9,0.007297663
2.40E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973262.99,8.85E-12,299779657,0.007297664
2.28E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973261.9,8.85E-12,299779627,0.007297665
2.16E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973260.8,8.85E-12,299779597,0.007297666
2.04E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973259.7,8.85E-12,299779567,0.007297666
1.92E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973258.6,8.85E-12,299779537,0.007297667
1.80E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973257.51,8.85E-12,299779507.1,0.007297668
1.68E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973256.41,8.85E-12,299779477.1,0.007297669
1.56E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973255.31,8.85E-12,299779447.1,0.007297669
1.43E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973254.11,8.85E-12,299779414.1,0.00729767
1.41E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973254,8.85E-12,299779411.1,0.00729767
1.40E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973253.89,8.85E-12,299779408.1,0.00729767
1.39E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973253.78,8.85E-12,299779405.1,0.00729767
1.38E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973253.67,8.85E-12,299779402.1,0.00729767
1.37E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973253.56,8.85E-12,299779399.1,0.00729767
1.35E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973253.45,8.85E-12,299779396.1,0.007297671
1.34E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973253.34,8.85E-12,299779393.1,0.007297671
1.33E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973253.23,8.85E-12,299779390.2,0.007297671
1.32E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973253.12,8.85E-12,299779387.2,0.007297671
1.31E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973253.01,8.85E-12,299779384.2,0.007297671
1.29E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973252.9,8.85E-12,299779381.2,0.007297671
1.28E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973252.79,8.85E-12,299779378.2,0.007297671
